出来事,年号
加賀の一向一揆,1488
鉄砲伝来,1543
キリスト教伝来,1549
桶狭間の戦い,1560
室町幕府滅亡,1573
長篠の戦い,1575
本能寺の変／太閤検地,1582
刀狩令,1588
豊臣秀吉が全国統一,1590
文禄の役,1592
慶長の役,1597
リーフデ号漂着／関ヶ原の戦い,1600
徳川家康が江戸幕府を開く,1603
大阪夏の陣／武家諸法度,1615
参勤交代の制度化,1635
島原・天草一揆,1637
ポルトガル船の来航禁止（鎖国の完成）,1639
シャクシャインの戦い,1669
生類憐みの令,1685
天明の飢饉,1782
ラクスマンの根室来航,1792
フェートン号事件,1808
外国船打払令（異国船打払令）,1825
大塩の乱（大塩平八郎の乱）,1837
アヘン戦争,1840
ペリーの浦賀来航,1853
日米和親条約（開国）,1854
日米修好通商条約／安政の大獄,1858
桜田門外の変,1860
生麦事件,1862
薩英戦争,1863
薩長同盟,1866
大政奉還／王政復古の大号令,1867
戊辰戦争／五箇条の御誓文（明治元年）,1868
版籍奉還,1869
郵便制度の導入／廃藩置県,1871
学制／鉄道開通／富岡製糸場開業,1872
徴兵令／地租改正,1873
民撰議院設立の建白書,1874
樺太・千島交換条約,1875
西南戦争,1877
国会開設の勅諭,1881
秩父事件,1884
内閣制度,1885
ノルマントン号事件,1886
大日本帝国憲法発布,1889
第一回衆議院議員総選挙／第一回帝国議会,1890
領事裁判権の撤廃／日清戦争,1894
下関条約／三国干渉,1895
八幡製鉄所開業／田中正造が天皇に直訴,1901
